Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
New Cairo,Haram,Cairo,Giza,2024-06-24 03:53:00,Monday,3,16.78,9.05,5.114324573815775,46.28,Uber Bus,Credit Card,4.1
Obour,Rehab,Qalyubia,Cairo,2024-06-12 13:32:00,Wednesday,13,16.43,10.68,4.13735378952,44.19,UberX,Wallet,4.6
Shorouk,6th October,Cairo,Giza,2024-06-15 19:29:00,Saturday,19,32.7,20.88,3.5277072689809192,73.66,Uber Comfort,Credit Card,3.9
Heliopolis,Haram,Cairo,Giza,2024-06-25 02:02:00,Tuesday,2,7.66,4.79,5.411201924798792,25.92,Uber Comfort,Wallet,3.6
Dokki,Sheikh Zayed,Giza,Giza,2024-06-20 17:40:00,Thursday,17,41.0,27.46,4.058144853496381,111.44,Uber Scooter,Cash,4.1
Heliopolis,Shubra,Cairo,Cairo,2024-06-30 21:49:00,Sunday,21,12.78,5.0,3.1346360584673647,15.67,UberX,Cash,4.9
Zamalek,Mohandessin,Cairo,Giza,2024-06-08 04:46:00,Saturday,4,14.15,7.58,4.405904453623154,33.4,Uber Scooter,Cash,5.0
Obour,New Cairo,Qalyubia,Cairo,2024-06-23 10:43:00,Sunday,10,13.48,9.54,3.5242167449693453,33.62,Uber Scooter,Credit Card,3.8
Faisal,Obour,Giza,Qalyubia,2024-06-24 00:21:00,Monday,0,17.01,8.94,4.135167601128309,36.97,Uber Bus,Credit Card,4.7
Haram,Fifth Settlement,Giza,Cairo,2024-06-21 09:32:00,Friday,9,44.4,27.3,3.360238644509416,91.73,Uber Comfort,Wallet,4.2
Shubra,Haram,Cairo,Giza,2024-06-10 13:22:00,Monday,13,20.98,9.89,3.7979357516179686,37.56,Uber Scooter,Credit Card,3.8
New Cairo,Zamalek,Cairo,Cairo,2024-06-19 20:13:00,Wednesday,20,25.8,16.39,3.919222151785642,64.24,Uber Comfort,Wallet,4.9
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-05 08:37:00,Wednesday,8,7.73,5.65,4.035579200016623,22.8,Uber Bus,Credit Card,4.6
Fifth Settlement,Rehab,Cairo,Cairo,2024-06-14 22:43:00,Friday,22,65.58,27.54,3.917119353023124,107.88,Uber Scooter,Cash,4.0
Maadi,Dokki,Cairo,Giza,2024-06-13 11:27:00,Thursday,11,11.76,6.88,4.338336364962182,29.85,Uber Comfort,Cash,5.0
Haram,Sheikh Zayed,Giza,Giza,2024-06-12 03:14:00,Wednesday,3,14.74,6.66,5.046442738374438,33.61,Uber Scooter,Cash,4.1
Downtown,Shubra,Cairo,Cairo,2024-06-21 17:37:00,Friday,17,45.78,15.74,5.060210905651866,79.65,UberX,Credit Card,5.0
Maadi,Nasr City,Cairo,Cairo,2024-06-24 22:01:00,Monday,22,33.28,14.92,5.360778435409033,79.98,Uber Comfort,Credit Card,3.9
New Cairo,Ain Shams,Cairo,Cairo,2024-06-29 09:54:00,Saturday,9,10.83,7.85,3.309356766707785,25.98,UberX,Cash,4.5
Nasr City,Mohandessin,Cairo,Giza,2024-06-18 17:26:00,Tuesday,17,27.72,16.23,3.4514434153755085,56.02,Uber Scooter,Cash,4.6
Heliopolis,Shubra,Cairo,Cairo,2024-06-09 17:49:00,Sunday,17,30.92,17.85,5.134863438855179,91.66,Uber Scooter,Cash,3.5
New Cairo,Haram,Cairo,Giza,2024-06-09 02:51:00,Sunday,2,28.51,19.83,4.857003250943441,96.31,UberX,Credit Card,3.9
New Cairo,Maadi,Cairo,Cairo,2024-06-07 09:49:00,Friday,9,6.73,2.79,5.437650647408924,15.17,Uber Bus,Wallet,4.0
Maadi,Faisal,Cairo,Giza,2024-06-22 02:19:00,Saturday,2,25.97,9.3,3.77286816686588,35.09,Uber Bus,Cash,4.1
Sheikh Zayed,Ain Shams,Giza,Cairo,2024-06-21 23:24:00,Friday,23,28.82,21.51,5.400463170461279,116.16,UberX,Credit Card,4.7
Shorouk,6th October,Cairo,Giza,2024-06-04 07:40:00,Tuesday,7,8.07,4.17,4.273123861582335,17.82,UberX,Cash,4.1
Sheikh Zayed,Ain Shams,Giza,Cairo,2024-06-12 22:35:00,Wednesday,22,26.16,15.66,3.288297384682943,51.49,Uber Comfort,Cash,3.8
New Cairo,Maadi,Cairo,Cairo,2024-06-24 15:18:00,Monday,15,72.36,28.34,3.6466159440727006,103.35,Uber Scooter,Credit Card,4.9
Obour,New Cairo,Qalyubia,Cairo,2024-06-09 02:13:00,Sunday,2,21.87,15.32,4.5875481326717455,70.28,Uber Bus,Cash,3.9
Fifth Settlement,6th October,Cairo,Giza,2024-06-19 08:51:00,Wednesday,8,56.99,27.4,5.20450208352609,142.6,Uber Comfort,Credit Card,4.6
Downtown,Ain Shams,Cairo,Cairo,2024-06-20 00:24:00,Thursday,0,7.61,4.7,5.350299571027394,25.15,Uber Scooter,Credit Card,3.6
Obour,Shubra,Qalyubia,Cairo,2024-06-07 12:04:00,Friday,12,15.24,8.73,5.393048235268255,47.08,UberX,Wallet,3.9
Downtown,Nasr City,Cairo,Cairo,2024-06-27 06:25:00,Thursday,6,18.2,10.09,5.160766540424591,52.07,UberX,Credit Card,4.1
Heliopolis,Nasr City,Cairo,Cairo,2024-06-18 01:39:00,Tuesday,1,20.5,10.57,3.3719606728875497,35.64,Uber Comfort,Wallet,3.8
Shubra,New Cairo,Cairo,Cairo,2024-06-11 18:43:00,Tuesday,18,76.77,29.37,4.155137625890438,122.04,Uber Scooter,Wallet,4.1
Dokki,Downtown,Giza,Cairo,2024-06-01 02:43:00,Saturday,2,9.25,6.05,5.215781667337932,31.56,UberX,Cash,4.7
Downtown,Ain Shams,Cairo,Cairo,2024-06-29 05:38:00,Saturday,5,39.85,24.14,4.7550387898029,114.79,Uber Scooter,Wallet,4.8
Heliopolis,Haram,Cairo,Giza,2024-06-07 04:56:00,Friday,4,34.74,21.35,4.329163978409202,92.43,Uber Bus,Credit Card,3.6
Faisal,Fifth Settlement,Giza,Cairo,2024-06-06 17:41:00,Thursday,17,12.01,8.81,4.900179005377989,43.17,UberX,Credit Card,4.8
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-06 11:07:00,Thursday,11,18.98,6.47,4.541627380233246,29.38,Uber Scooter,Credit Card,4.3
Obour,Shubra,Qalyubia,Cairo,2024-06-09 22:33:00,Sunday,22,39.22,24.41,3.4772744383704577,84.88,Uber Comfort,Credit Card,4.9
10th of Ramadan,Obour,Sharqia,Qalyubia,2024-06-03 03:58:00,Monday,3,46.42,24.89,5.238539741103933,130.39,Uber Scooter,Credit Card,4.8
New Cairo,Mohandessin,Cairo,Giza,2024-06-09 22:43:00,Sunday,22,29.76,14.66,5.119147283843898,75.05,Uber Bus,Wallet,4.6
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-09 10:12:00,Sunday,10,78.13,28.49,3.662881362229397,104.36,Uber Scooter,Cash,4.6
10th of Ramadan,Mohandessin,Sharqia,Giza,2024-06-14 11:31:00,Friday,11,21.94,10.7,3.64839866868804,39.04,Uber Comfort,Cash,4.8
Downtown,Rehab,Cairo,Cairo,2024-06-15 22:58:00,Saturday,22,70.87,26.04,4.545829167545881,118.37,Uber Scooter,Credit Card,4.2
Obour,Dokki,Qalyubia,Giza,2024-06-16 14:19:00,Sunday,14,29.2,14.28,3.755502964827087,53.63,Uber Bus,Credit Card,4.1
Zamalek,Obour,Cairo,Qalyubia,2024-06-10 13:15:00,Monday,13,44.46,20.7,3.582216554597017,74.15,Uber Comfort,Credit Card,4.1
Sheikh Zayed,Downtown,Giza,Cairo,2024-06-11 01:12:00,Tuesday,1,17.01,8.03,3.3572345605687968,26.96,Uber Comfort,Cash,4.6
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-25 23:53:00,Tuesday,23,16.83,8.94,5.261402855981116,47.04,Uber Scooter,Credit Card,4.4
Sheikh Zayed,Fifth Settlement,Giza,Cairo,2024-06-22 05:21:00,Saturday,5,18.85,14.06,5.480041962218565,77.05,Uber Scooter,Cash,4.0
Sheikh Zayed,Shubra,Giza,Cairo,2024-06-09 09:58:00,Sunday,9,63.19,21.58,3.873038901669325,83.58,Uber Scooter,Wallet,4.5
Heliopolis,10th of Ramadan,Cairo,Sharqia,2024-06-28 05:13:00,Friday,5,14.52,10.56,4.825152842327388,50.95,UberX,Credit Card,3.7
Heliopolis,Maadi,Cairo,Cairo,2024-06-05 02:52:00,Wednesday,2,7.72,4.42,3.100293325802836,13.7,UberX,Cash,4.4
Shubra,Obour,Cairo,Qalyubia,2024-06-27 21:03:00,Thursday,21,27.07,18.67,4.799569020183545,89.61,Uber Comfort,Credit Card,4.5
New Cairo,Rehab,Cairo,Cairo,2024-06-13 15:35:00,Thursday,15,36.68,16.2,4.89462307418944,79.29,Uber Scooter,Wallet,4.4
Faisal,Shubra,Giza,Cairo,2024-06-10 00:13:00,Monday,0,48.2,29.28,4.182946229048833,122.48,Uber Bus,Cash,4.7
Mohandessin,New Cairo,Giza,Cairo,2024-06-19 18:11:00,Wednesday,18,16.42,9.32,5.018361406461386,46.77,UberX,Credit Card,4.5
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-27 21:44:00,Thursday,21,5.99,4.1,5.458806129399434,22.38,Uber Bus,Credit Card,3.8
New Cairo,Obour,Cairo,Qalyubia,2024-06-28 15:24:00,Friday,15,42.24,28.07,3.207547261959322,90.04,Uber Scooter,Wallet,4.1
6th October,Fifth Settlement,Giza,Cairo,2024-06-06 12:16:00,Thursday,12,10.1,7.51,3.2430277269579943,24.36,Uber Bus,Credit Card,3.5
Obour,Rehab,Qalyubia,Cairo,2024-06-02 09:14:00,Sunday,9,34.62,15.44,5.040825743524657,77.83,Uber Bus,Credit Card,4.7
Fifth Settlement,Shorouk,Cairo,Cairo,2024-06-01 12:30:00,Saturday,12,23.25,16.33,3.095037849688889,50.54,Uber Bus,Wallet,3.9
Zamalek,Rehab,Cairo,Cairo,2024-06-03 23:23:00,Monday,23,24.86,16.42,4.187241161327974,68.75,Uber Scooter,Credit Card,3.7
Sheikh Zayed,Ain Shams,Giza,Cairo,2024-06-24 19:55:00,Monday,19,31.64,18.19,5.071052714378508,92.24,Uber Scooter,Wallet,3.7
Heliopolis,Nasr City,Cairo,Cairo,2024-06-07 06:32:00,Friday,6,47.74,19.57,5.056869226679693,98.96,UberX,Cash,3.6
Ain Shams,Shubra,Cairo,Cairo,2024-06-10 19:28:00,Monday,19,18.42,9.84,3.82128497160025,37.6,Uber Scooter,Credit Card,4.8
Nasr City,Zamalek,Cairo,Cairo,2024-06-17 13:11:00,Monday,13,26.25,16.25,4.790774718103045,77.85,Uber Bus,Wallet,3.6
10th of Ramadan,Mohandessin,Sharqia,Giza,2024-06-03 19:00:00,Monday,19,53.2,18.6,3.685868450693609,68.56,Uber Comfort,Cash,3.9
Zamalek,Mohandessin,Cairo,Giza,2024-06-27 02:52:00,Thursday,2,20.22,12.63,3.151285850650988,39.8,Uber Scooter,Wallet,3.6
Shubra,Shorouk,Cairo,Cairo,2024-06-29 13:07:00,Saturday,13,32.41,22.93,4.016976826415067,92.11,Uber Comfort,Cash,3.9
Shubra,6th October,Cairo,Giza,2024-06-15 06:21:00,Saturday,6,21.36,12.37,3.869178063528677,47.86,UberX,Cash,3.6
Dokki,Faisal,Giza,Giza,2024-06-03 22:21:00,Monday,22,28.16,17.18,3.651994377543206,62.74,Uber Scooter,Credit Card,4.9
Haram,Rehab,Giza,Cairo,2024-06-23 06:23:00,Sunday,6,20.44,14.6,4.588468699275839,66.99,Uber Bus,Credit Card,4.9
Rehab,Haram,Cairo,Giza,2024-06-24 10:08:00,Monday,10,33.0,22.6,4.413872351480881,99.75,UberX,Credit Card,4.9
Zamalek,Rehab,Cairo,Cairo,2024-06-26 09:41:00,Wednesday,9,19.81,8.17,4.517455316190904,36.91,Uber Bus,Cash,4.5
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-27 17:06:00,Thursday,17,68.91,26.82,3.768055049034146,101.06,Uber Bus,Cash,4.8
Obour,Ain Shams,Qalyubia,Cairo,2024-06-04 22:26:00,Tuesday,22,32.21,20.01,3.568338574859121,71.4,Uber Scooter,Cash,5.0
Mohandessin,New Cairo,Giza,Cairo,2024-06-19 08:25:00,Wednesday,8,49.04,30.0,4.621341715216382,138.64,Uber Scooter,Wallet,4.1
Haram,Heliopolis,Giza,Cairo,2024-06-30 05:38:00,Sunday,5,12.34,5.32,4.357944501402228,23.18,Uber Scooter,Credit Card,3.9
Zamalek,Maadi,Cairo,Cairo,2024-06-17 06:40:00,Monday,6,5.01,2.69,4.311269461479666,11.6,UberX,Credit Card,4.0
New Cairo,Haram,Cairo,Giza,2024-06-19 06:53:00,Wednesday,6,22.06,13.35,4.528003669081104,60.45,Uber Scooter,Wallet,3.8
Dokki,Obour,Giza,Qalyubia,2024-06-10 20:58:00,Monday,20,42.72,29.7,4.824932866246198,143.3,Uber Comfort,Wallet,4.7
Downtown,Maadi,Cairo,Cairo,2024-06-01 05:22:00,Saturday,5,3.48,2.53,5.127744182503626,12.97,Uber Comfort,Wallet,4.2
Heliopolis,6th October,Cairo,Giza,2024-06-25 10:56:00,Tuesday,10,9.87,6.65,3.868071440030996,25.72,Uber Scooter,Wallet,3.8
Maadi,New Cairo,Cairo,Cairo,2024-06-26 23:38:00,Wednesday,23,37.7,24.21,3.533302257252423,85.54,UberX,Wallet,4.2
Shorouk,Ain Shams,Cairo,Cairo,2024-06-02 06:04:00,Sunday,6,47.64,18.94,4.50245129645766,85.28,UberX,Cash,3.6
Sheikh Zayed,Zamalek,Giza,Cairo,2024-06-26 08:31:00,Wednesday,8,13.52,8.12,4.98890648720936,40.51,UberX,Wallet,4.5
Dokki,Rehab,Giza,Cairo,2024-06-26 18:33:00,Wednesday,18,33.11,22.72,4.651274437311518,105.68,Uber Scooter,Credit Card,3.8
Ain Shams,Obour,Cairo,Qalyubia,2024-06-25 20:42:00,Tuesday,20,8.35,5.41,5.340218614692514,28.89,UberX,Wallet,4.5
6th October,Faisal,Giza,Giza,2024-06-28 04:05:00,Friday,4,31.91,20.77,4.577362594092127,95.07,Uber Bus,Credit Card,4.1
New Cairo,Sheikh Zayed,Cairo,Giza,2024-06-06 04:10:00,Thursday,4,37.29,13.13,4.227448547889013,55.51,Uber Scooter,Wallet,3.6
Haram,Sheikh Zayed,Giza,Giza,2024-06-01 00:06:00,Saturday,0,51.15,18.05,3.0706872848184843,55.43,Uber Comfort,Cash,4.2
6th October,Dokki,Giza,Giza,2024-06-25 13:51:00,Tuesday,13,19.42,14.18,4.72683785258555,67.03,Uber Scooter,Credit Card,3.5
Heliopolis,Ain Shams,Cairo,Cairo,2024-06-30 17:40:00,Sunday,17,68.71,26.52,3.884990994212518,103.03,Uber Scooter,Wallet,4.5
Downtown,Ain Shams,Cairo,Cairo,2024-06-08 12:38:00,Saturday,12,14.47,5.59,5.3602121761333485,29.96,Uber Comfort,Wallet,4.4
Ain Shams,Maadi,Cairo,Cairo,2024-06-17 05:16:00,Monday,5,20.06,14.78,3.2994842213188424,48.77,UberX,Wallet,3.8
Haram,10th of Ramadan,Giza,Sharqia,2024-06-15 20:15:00,Saturday,20,29.15,10.56,5.125220566051567,54.12,UberX,Credit Card,3.6
Shorouk,Rehab,Cairo,Cairo,2024-06-11 01:46:00,Tuesday,1,19.04,12.73,3.758705913117968,47.85,UberX,Wallet,4.7
Downtown,Heliopolis,Cairo,Cairo,2024-06-22 01:30:00,Saturday,1,21.81,14.17,3.662278188366448,51.89,UberX,Cash,5.0
New Cairo,Fifth Settlement,Cairo,Cairo,2024-06-20 05:05:00,Thursday,5,4.7,2.8,5.404449941986741,15.13,Uber Comfort,Cash,4.6
Mohandessin,Dokki,Giza,Giza,2024-06-20 02:33:00,Thursday,2,32.91,23.98,4.681483802363846,112.26,Uber Comfort,Wallet,4.7
10th of Ramadan,Downtown,Sharqia,Cairo,2024-06-08 14:37:00,Saturday,14,25.38,12.42,3.219943521893014,39.99,Uber Scooter,Wallet,4.5
6th October,Fifth Settlement,Giza,Cairo,2024-06-27 11:55:00,Thursday,11,57.8,19.4,4.0843901008447325,79.24,Uber Comfort,Cash,3.6
Mohandessin,Haram,Giza,Giza,2024-06-04 03:53:00,Tuesday,3,37.59,15.94,3.2444999506530983,51.72,Uber Bus,Credit Card,4.6
Shorouk,Mohandessin,Cairo,Giza,2024-06-07 11:00:00,Friday,11,27.38,18.27,3.3614454206524327,61.41,UberX,Cash,4.1
Zamalek,Haram,Cairo,Giza,2024-06-02 10:31:00,Sunday,10,39.04,26.43,3.012565357928584,79.62,Uber Bus,Wallet,3.8
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-18 11:43:00,Tuesday,11,18.04,7.89,4.635333366591228,36.57,Uber Bus,Wallet,3.9
Rehab,Fifth Settlement,Cairo,Cairo,2024-06-09 19:01:00,Sunday,19,10.97,6.89,4.374193207368221,30.14,Uber Scooter,Wallet,3.8
New Cairo,Maadi,Cairo,Cairo,2024-06-29 14:13:00,Saturday,14,57.15,22.86,3.538808950034609,80.9,UberX,Wallet,4.1
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-20 15:49:00,Thursday,15,33.57,18.02,4.826342795987507,86.97,Uber Comfort,Wallet,4.7
Shorouk,Shubra,Cairo,Cairo,2024-06-28 18:30:00,Friday,18,57.97,20.47,5.351368394715679,109.54,Uber Bus,Cash,3.9
Haram,Obour,Giza,Qalyubia,2024-06-11 01:02:00,Tuesday,1,52.52,28.38,3.16369666931984,89.79,UberX,Cash,4.3
Haram,Downtown,Giza,Cairo,2024-06-03 05:20:00,Monday,5,45.37,25.54,3.359457925918232,85.8,Uber Scooter,Wallet,4.8
Mohandessin,Dokki,Giza,Giza,2024-06-03 09:10:00,Monday,9,22.15,15.27,5.037037731938485,76.92,Uber Scooter,Cash,3.6
Obour,Shubra,Qalyubia,Cairo,2024-06-28 03:42:00,Friday,3,6.34,2.66,3.317205360042404,8.82,Uber Scooter,Cash,3.7
Dokki,Rehab,Giza,Cairo,2024-06-08 07:59:00,Saturday,7,5.37,3.51,3.8994975919209662,13.69,Uber Bus,Wallet,4.0
Fifth Settlement,Haram,Cairo,Giza,2024-06-25 23:08:00,Tuesday,23,32.7,20.81,5.197473385456425,108.16,UberX,Credit Card,3.9
New Cairo,Obour,Cairo,Qalyubia,2024-06-08 11:46:00,Saturday,11,46.68,29.17,5.135131472894152,149.79,Uber Scooter,Wallet,3.6
Dokki,Rehab,Giza,Cairo,2024-06-14 04:27:00,Friday,4,31.46,12.45,4.817300465467002,59.98,UberX,Wallet,5.0
Shubra,10th of Ramadan,Cairo,Sharqia,2024-06-04 23:50:00,Tuesday,23,47.79,29.42,4.456457743507751,131.11,UberX,Credit Card,4.4
Faisal,Fifth Settlement,Giza,Cairo,2024-06-10 00:42:00,Monday,0,14.85,5.75,3.5264545263935374,20.28,Uber Comfort,Wallet,4.3
Mohandessin,6th October,Giza,Giza,2024-06-05 18:57:00,Wednesday,18,5.43,3.7,4.249110570481364,15.72,Uber Bus,Cash,4.7
Heliopolis,Downtown,Cairo,Cairo,2024-06-29 16:01:00,Saturday,16,15.58,6.12,4.990095440544738,30.54,UberX,Credit Card,4.2
Rehab,Fifth Settlement,Cairo,Cairo,2024-06-25 20:26:00,Tuesday,20,63.5,25.18,4.771283647820732,120.14,Uber Bus,Cash,3.9
Mohandessin,Downtown,Giza,Cairo,2024-06-27 00:46:00,Thursday,0,29.75,17.58,3.0150934669671714,53.01,Uber Comfort,Credit Card,5.0
Sheikh Zayed,Maadi,Giza,Cairo,2024-06-28 23:26:00,Friday,23,61.7,20.86,4.506073053330983,94.0,Uber Scooter,Credit Card,4.9
Obour,Rehab,Qalyubia,Cairo,2024-06-22 20:59:00,Saturday,20,16.76,12.53,3.880161137147021,48.62,UberX,Wallet,3.6
Faisal,Ain Shams,Giza,Cairo,2024-06-07 15:31:00,Friday,15,45.79,16.5,3.792959799348772,62.58,Uber Scooter,Credit Card,4.6
Heliopolis,6th October,Cairo,Giza,2024-06-16 07:58:00,Sunday,7,25.89,18.08,5.299490064039201,95.81,Uber Comfort,Wallet,4.0
Ain Shams,Shorouk,Cairo,Cairo,2024-06-24 19:24:00,Monday,19,12.49,6.24,4.593949595967192,28.67,Uber Bus,Cash,3.9
Rehab,Maadi,Cairo,Cairo,2024-06-17 22:25:00,Monday,22,39.38,17.72,4.137507646438225,73.32,Uber Comfort,Credit Card,4.7
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-19 00:03:00,Wednesday,0,30.4,15.95,5.349766944704735,85.33,Uber Bus,Credit Card,5.0
Dokki,Sheikh Zayed,Giza,Giza,2024-06-30 06:42:00,Sunday,6,19.81,9.62,5.106619012130823,49.13,Uber Comfort,Credit Card,4.4
Haram,10th of Ramadan,Giza,Sharqia,2024-06-04 01:42:00,Tuesday,1,55.54,23.43,4.215182032299528,98.76,Uber Comfort,Wallet,4.5
Heliopolis,Haram,Cairo,Giza,2024-06-29 02:46:00,Saturday,2,18.14,10.7,5.4940269554063725,58.79,Uber Bus,Wallet,3.9
Dokki,Heliopolis,Giza,Cairo,2024-06-28 09:41:00,Friday,9,27.06,16.98,3.329770826324416,56.54,Uber Scooter,Credit Card,3.9
Zamalek,6th October,Cairo,Giza,2024-06-28 13:36:00,Friday,13,44.53,18.72,4.797102478878296,89.8,Uber Bus,Credit Card,4.7
Mohandessin,10th of Ramadan,Giza,Sharqia,2024-06-23 19:54:00,Sunday,19,41.54,24.8,4.378882329496344,108.6,Uber Comfort,Cash,4.1
Haram,6th October,Giza,Giza,2024-06-12 08:36:00,Wednesday,8,53.26,21.77,4.772249010656799,103.89,Uber Bus,Credit Card,3.7
Shubra,Obour,Cairo,Qalyubia,2024-06-28 05:52:00,Friday,5,18.32,9.24,3.866051488584758,35.72,Uber Comfort,Cash,4.5
Mohandessin,6th October,Giza,Giza,2024-06-29 15:30:00,Saturday,15,53.36,21.17,5.3261228641347245,112.75,Uber Comfort,Cash,4.9
6th October,Nasr City,Giza,Cairo,2024-06-11 02:41:00,Tuesday,2,49.94,20.07,3.730648134537113,74.87,UberX,Cash,4.7
Heliopolis,Shubra,Cairo,Cairo,2024-06-26 07:48:00,Wednesday,7,64.14,29.82,4.357648773471865,129.95,Uber Comfort,Credit Card,4.1
Faisal,10th of Ramadan,Giza,Sharqia,2024-06-24 11:31:00,Monday,11,13.03,6.28,5.318890580689427,33.4,Uber Bus,Wallet,3.6
Fifth Settlement,Haram,Cairo,Giza,2024-06-02 19:40:00,Sunday,19,13.91,9.37,3.973161785444688,37.23,UberX,Cash,4.9
Faisal,Downtown,Giza,Cairo,2024-06-15 18:02:00,Saturday,18,35.07,17.74,5.2524875509049815,93.18,Uber Bus,Credit Card,4.4
Shorouk,Downtown,Cairo,Cairo,2024-06-30 19:59:00,Sunday,19,16.23,7.72,4.215079909740554,32.54,UberX,Wallet,4.4
Obour,Downtown,Qalyubia,Cairo,2024-06-13 10:56:00,Thursday,10,64.72,27.32,4.090115765641647,111.74,Uber Bus,Wallet,4.2
Nasr City,Obour,Cairo,Qalyubia,2024-06-25 02:03:00,Tuesday,2,38.9,16.26,4.172000603902606,67.84,UberX,Cash,4.7
Maadi,Obour,Cairo,Qalyubia,2024-06-03 14:29:00,Monday,14,25.52,13.4,4.413322464148823,59.14,Uber Bus,Wallet,4.8
Faisal,Haram,Giza,Giza,2024-06-21 17:34:00,Friday,17,8.61,4.97,4.305828199617949,21.4,Uber Comfort,Wallet,3.8
Nasr City,Heliopolis,Cairo,Cairo,2024-06-05 10:16:00,Wednesday,10,4.19,2.15,4.784398183783384,10.29,Uber Bus,Cash,4.2
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-18 05:07:00,Tuesday,5,10.85,6.31,3.817912414025456,24.09,Uber Bus,Wallet,3.8
Nasr City,Downtown,Cairo,Cairo,2024-06-26 21:16:00,Wednesday,21,36.85,25.1,5.162213704287924,129.57,UberX,Cash,3.9
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-29 19:05:00,Saturday,19,61.3,27.01,4.055976817481529,109.55,Uber Scooter,Cash,4.3
Heliopolis,Dokki,Cairo,Giza,2024-06-19 16:32:00,Wednesday,16,31.33,19.32,4.6829971911384245,90.48,Uber Comfort,Credit Card,4.9
Fifth Settlement,Dokki,Cairo,Giza,2024-06-18 22:40:00,Tuesday,22,38.37,20.17,3.4798795534654507,70.19,Uber Comfort,Credit Card,4.8
Obour,Sheikh Zayed,Qalyubia,Giza,2024-06-09 03:40:00,Sunday,3,29.66,18.74,5.437499404513188,101.9,Uber Scooter,Wallet,3.8
New Cairo,Dokki,Cairo,Giza,2024-06-11 06:10:00,Tuesday,6,29.71,13.93,3.729055268065624,51.95,UberX,Wallet,4.7
Heliopolis,Maadi,Cairo,Cairo,2024-06-16 03:29:00,Sunday,3,11.99,4.33,4.165251355881589,18.04,Uber Bus,Wallet,4.1
Heliopolis,Obour,Cairo,Qalyubia,2024-06-24 07:01:00,Monday,7,54.19,21.85,4.35568479240124,95.17,Uber Bus,Wallet,4.7
Heliopolis,10th of Ramadan,Cairo,Sharqia,2024-06-23 17:26:00,Sunday,17,49.48,17.19,3.3795674681416883,58.09,Uber Scooter,Cash,5.0
Zamalek,Obour,Cairo,Qalyubia,2024-06-17 18:00:00,Monday,18,37.65,18.5,3.8050640631671055,70.39,Uber Scooter,Credit Card,4.8
Downtown,Zamalek,Cairo,Cairo,2024-06-30 09:20:00,Sunday,9,54.05,25.34,3.450461585604978,87.43,UberX,Cash,4.7
Dokki,10th of Ramadan,Giza,Sharqia,2024-06-24 19:42:00,Monday,19,58.0,27.09,3.922578914104093,106.26,Uber Comfort,Credit Card,4.7
New Cairo,Maadi,Cairo,Cairo,2024-06-25 00:29:00,Tuesday,0,23.99,9.01,3.061655817897013,27.59,Uber Bus,Wallet,4.5
Shorouk,Nasr City,Cairo,Cairo,2024-06-23 07:51:00,Sunday,7,12.36,7.96,3.988391873497908,31.75,Uber Comfort,Cash,4.3
Ain Shams,Maadi,Cairo,Cairo,2024-06-28 03:14:00,Friday,3,26.49,12.0,5.21381179467116,62.57,UberX,Cash,3.9
Faisal,Zamalek,Giza,Cairo,2024-06-13 03:07:00,Thursday,3,12.62,8.04,3.076184350558056,24.73,Uber Bus,Cash,4.7
Downtown,Dokki,Cairo,Giza,2024-06-03 00:00:00,Monday,0,21.19,8.48,4.642342250459064,39.37,UberX,Credit Card,3.6
New Cairo,Haram,Cairo,Giza,2024-06-25 10:55:00,Tuesday,10,24.77,9.21,4.811152532919859,44.31,Uber Bus,Wallet,3.6
Obour,Nasr City,Qalyubia,Cairo,2024-06-20 13:30:00,Thursday,13,18.7,9.18,5.3072063002466425,48.72,UberX,Cash,4.4
Rehab,New Cairo,Cairo,Cairo,2024-06-17 07:45:00,Monday,7,32.22,22.98,3.5812378761304857,82.3,Uber Scooter,Cash,3.9
Maadi,Fifth Settlement,Cairo,Cairo,2024-06-26 15:53:00,Wednesday,15,34.19,21.75,3.522811306007801,76.62,Uber Bus,Cash,4.5
6th October,Shorouk,Giza,Cairo,2024-06-01 22:07:00,Saturday,22,19.03,12.26,3.5952960567213434,44.08,Uber Scooter,Cash,4.6
Rehab,Shubra,Cairo,Cairo,2024-06-03 20:00:00,Monday,20,24.21,15.14,3.840367054583151,58.14,UberX,Wallet,4.3
Heliopolis,Shubra,Cairo,Cairo,2024-06-27 14:39:00,Thursday,14,56.8,29.61,4.637153483059144,137.31,Uber Bus,Cash,4.2
Faisal,Ain Shams,Giza,Cairo,2024-06-21 00:00:00,Friday,0,40.11,29.12,3.324153625555472,96.8,Uber Comfort,Cash,4.2
